id,Rank,Mountain name,Height in m,Height in ft,Prominence in m,Range,Parent mountain,First ascent,Ascents (& failed attempts) as of 2004,Country
51,51,Saser Kangri III,7495,24590,835,Saser Karakoram,Saser Kangri I,1986,1,India
45,45,Kula Kangri,7538,24731,1654,Kula Kangri Himalaya,Gangkhar Puensum,1986,3,"China, Bhutan"
75,75,Labuche Kang,7367,24170,1957,Labuche Himalaya,Cho Oyu,1987,1,China
71,71,Rimo I,7385,24229,1428,Rimo Karakoram,Teram Kangri I,1988,1,India
82,82,Siguang Ri,7309,23980,669,Mahalangur Himalaya,Cho Oyu,1989,2,China
27,27,Namcha Barwa,7782,25531,4106,Assam Himalaya,Kangchenjunga,1992,1,China
83,83,The Crown / Huang Guan,7295,23934,1919,Yengisogat Karakoram,Skil Brum (K2),1993,1,China
80,80,Chongtar,7315,23999,1295,Baltoro Karakoram,Skil Brum,1994,1,China
65,65,Kabru N,7412,24318,720,Kangchenjunga Himalaya,Kangchenjunga,1994,1,"India, Nepal"
54,54,Passu Sar,7476,24528,647,Batura Karakoram,Batura Sar,1994,1,Pakistan
70,70,Ultar,7388,24239,688,Batura Karakoram,Shispare,1996,2,Pakistan
106,106,Kangphu Kang / Shimokangri,7204,23635,1244,Lunana Himalaya,Tongshanjiabu,2002,1,"Bhutan, China"
48,48,Saser Kangri II E,7513,24649,1458,Saser Karakoram,Saser Kangri I,2011,0,India
102,102,Tongshanjiabu,7207,23645,1757,Lunana Himalaya,Gangkhar Puensum,1960,0,"Bhutan, China"
99,99,Karjiang,7221,23691,895,Kula Kangri Himalaya,Kula Kangri,1960,0,China
93,93,Labuche Kang III,7250,23786,570,Labuche Himalaya,Labuche Kang,1960,0,China
40,40,Gangkhar Puensum,7570,24836,2995,Kula Kangri Himalaya,Kangchenjunga,1960,0,"Bhutan, China"
